DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude;
136940;2;6;D136940;Технологический дефект;ЛОЖЬ;96;13;0;0;2,54;3;2,57;137020;1;;;;;;;;;эквивалент потери металла 5%;;;
137764;0;0;W13776;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
139076;4;0;PW13908;Продольный шов;ЛОЖЬ;;;;;12,54;;;;;;;;;;;;;;;;
147364;0;0;W14736;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
148132;2;2;D148132;Вмятина;ЛОЖЬ;252;177;6;6;5,3;6,51;6,12;148240;1;;;;;;;;;;;;
148868;4;0;PW14887;Продольный шов;ЛОЖЬ;;;;;8,42;;;;;;;;;;;;;;;;
157892;2;0;D157892;Коррозия;ЛОЖЬ;72;236;8;8;8,39;10,27;9,27;157956;1;;;;;;;;;;;;
158372;0;0;W15837;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
159764;4;0;PW15976;Продольный шов;ЛОЖЬ;;;;;5,42;;;;;;;;;;;;;;;;
169408;0;0;W16941;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
170128;4;0;PW17013;Продольный шов;ЛОЖЬ;;;;;12,06;;;;;;;;;;;;;;;;
180656;0;0;W18066;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
181944;4;0;PW18194;Продольный шов;ЛОЖЬ;;;;;7,54;;;;;;;;;;;;;;;;
191480;0;0;W19148;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
194016;4;0;PW19402;Продольный шов;ЛОЖЬ;;;;;11,3;;;;;;;;;;;;;;;;
202332;2;0;D202332;Коррозия;ЛОЖЬ;24;79;10;10;11,09;11,45;11,24;202348;1;;;;;;;;;;;;
202500;2;0;D202500;Коррозия;ЛОЖЬ;48;164;8;8;10,27;11,42;10,48;202540;1;;;;;;;;;;;;
202652;0;0;W20265;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
204836;4;0;PW20484;Продольный шов;ЛОЖЬ;;;;;7,54;;;;;;;;;;;;;;;;
207292;2;0;D207292;Коррозия;ЛОЖЬ;40;33;7;7;6,36;6,51;6,48;207308;1;;;;;;;;;;;;
207708;2;0;D207708;Коррозия;ЛОЖЬ;40;33;5;5;6,06;6,21;6,06;207716;1;;;;;;;;;;;;
208156;2;0;D208156;Коррозия;ЛОЖЬ;64;39;5;5;6,39;6,57;6,54;208172;1;;;;;;;;;;;;
208452;2;0;D208452;Коррозия;ЛОЖЬ;56;46;5;5;6,33;6,54;6,48;208460;1;;;;;;;;;;;;
208652;2;0;D208652;Коррозия;ЛОЖЬ;32;33;5;5;6,12;6,27;6,12;208668;1;;;;;;;;;;;;
209580;2;0;D209580;Коррозия;ЛОЖЬ;96;157;5;5;5,54;7,06;6,39;209628;1;;;;;;;;;;;;
209812;2;0;D209812;Коррозия;ЛОЖЬ;64;118;7;7;6,24;7,18;6,45;209844;1;;;;;;;;;;;;
214156;0;0;W21416;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
215596;4;0;PW21560;Продольный шов;ЛОЖЬ;;;;;4,12;;;;;;;;;;;;;;;;
224980;0;0;W22498;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
225796;4;0;PW22580;Продольный шов;ЛОЖЬ;;;;;7,48;;;;;;;;;;;;;;;;
228764;2;0;D228764;Коррозия;ЛОЖЬ;72;52;6;6;1,39;2,03;1,51;228804;1;;;;;;;;;;;;
228828;2;0;D228828;Коррозия;ЛОЖЬ;88;59;5;5;10,39;11,06;10,48;228884;1;;;;;;;;;;;;
228932;2;0;D228932;Коррозия;ЛОЖЬ;136;118;6;6;1,03;1,57;1,33;228964;1;;;;;;;;;;;;
229012;2;0;D229012;Коррозия;ЛОЖЬ;64;65;7;7;8,42;9,12;9;229052;1;;;;;;;;;;;;
229556;2;0;D229556;Коррозия;ЛОЖЬ;72;65;5;5;8,42;9,12;8,57;229580;1;;;;;;;;;;;;
229844;2;0;D229844;Коррозия;ЛОЖЬ;56;151;6;6;10,51;12;10,54;229876;1;;;;;;;;;;;;
229972;2;0;D229972;Коррозия;ЛОЖЬ;64;98;10;10;3,48;4,33;4,03;229996;1;;;;;;;;;;;;
230060;2;0;D230060;Коррозия;ЛОЖЬ;56;65;7;7;8,48;9,18;8,51;230100;1;;;;;;;;;;;;
230124;2;0;D230124;Коррозия;ЛОЖЬ;112;79;6;6;2,54;3,3;3,21;230140;1;;;;;;;;;;;;
231484;2;0;D231484;Коррозия;ЛОЖЬ;48;26;6;6;11,39;11,51;11,51;231484;1;;;;;;;;;;;;
231516;2;0;D231516;Коррозия;ЛОЖЬ;152;72;5;5;3,39;4,12;3,57;231532;1;;;;;;;;;;;;
231732;2;0;D231732;Коррозия;ЛОЖЬ;192;26;12;12;6,18;6,3;6,18;231740;1;;;;;;;;;;;;
231788;2;0;D231788;Коррозия;ЛОЖЬ;80;39;7;7;9,09;9,27;9,18;231812;1;;;;;;;;;;;;
232004;2;0;D232004;Коррозия;ЛОЖЬ;48;124;9;9;8,57;9,54;9,3;232044;1;;;;;;;;;;;;
232028;2;0;D232028;Коррозия;ЛОЖЬ;56;39;7;7;4,57;5,15;5,09;232052;1;;;;;;;;;;;;
232036;2;0;D232036;Коррозия;ЛОЖЬ;40;46;8;8;7,54;8,15;8;232052;1;;;;;;;;;;;;
232052;2;0;D232052;Коррозия;ЛОЖЬ;80;46;6;6;12,06;12,27;12,21;232068;1;;;;;;;;;;;;
232388;2;0;D232388;Коррозия;ЛОЖЬ;72;137;6;6;8,54;9,57;8,57;232428;1;;;;;;;;;;;;
232468;2;0;D232468;Коррозия;ЛОЖЬ;64;39;6;6;3,45;4,03;4,03;232492;1;;;;;;;;;;;;
